[2025-08-15 22:54:16] [INFO    ] discord.client: logging in using static token
[2025-08-15 22:54:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'CarInfoBot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1405998234760904804', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1963', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '34638ddc5e55aebb51a2e2bff82cefb2', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1405997888454131752'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'paris', 'frankfurt', 'frankfurt-two'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1405998234760904804', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-kwgw",{"micros":108028,"calls":["id_created",{"micros":461,"calls":[]},"session_lookup_time",{"micros":3418,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-57",{"micros":103437,"calls":["start_session",{"micros":77833,"calls":["discord-api-rpc-d8946cc7d-c4lpw",{"micros":56559,"calls":["get_user",{"micros":5577},"get_guilds",{"micros":5981},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":2305},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":10760},"apex_experiments",{"micros":3369},"user_activities",{"micros":4},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":63,"calls":[]},"presence_started",{"micros":3046,"calls":[]},"guilds_started",{"micros":61,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":22415,"calls":[]},"connect_finished",{"micros":22419,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-15 22:54:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:17] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 34638ddc5e55aebb51a2e2bff82cefb2).
[2025-08-15 22:54:17] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-15 22:54:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_subscription_count': 0, 'hub_type': None, 'incidents_data': None, 'premium_tier': 0, 'moderator_reporting': None, 'profile': None, 'safety_alerts_channel_id': None, 'home_header': None, 'features': [], 'region': 'deprecated', 'embedded_activities': [], 'voice_states': [], 'id': '1405997888454131752', 'name': 'Car Search Bot', 'emojis': [], 'splash': None, 'explicit_content_filter': 0, 'verification_level': 0, 'icon': None, 'nsfw_level': 0, 'inventory_settings': None, 'premium_progress_bar_enabled': False, 'max_stage_video_channel_users': 50, 'threads': [], 'stage_instances': [], 'premium_features': None, 'owner_configured_content_level': 0, 'nsfw': False, 'application_command_counts': {}, 'latest_onboarding_question_id': None, 'description': None, 'preferred_locale': 'en-US', 'discovery_splash': None, 'large': False, 'owner_id': '533974620227764224', 'member_count': 2, 'banner': None, 'activity_instances': [], 'application_id': None, 'joined_at': '2025-08-15T19:42:26.783258+00:00', 'guild_scheduled_events': [], 'afk_channel_id': None, 'system_channel_id': '1405997889192198237', 'channels': [{'version': 1755286418964, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1405997889192198235', 'flags': 0}, {'version': 1755286418969, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1405997889192198236', 'flags': 0}, {'version': 1755286418977, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1405997889192198235', 'name': 'general', 'last_message_id': '1406032751659974656', 'id': '1405997889192198237', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1755286418985, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1405997889192198236', 'name': 'General', 'last_message_id': None, 'id': '1405997889192198238', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'afk_timeout': 300, 'members': [{'user': {'username': 'CarInfoBot', 'public_flags': 0, 'primary_guild': None, 'id': '1405998234760904804', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1963', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1406000102597722285'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:42:26.783258+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'soundboard_sounds': [], 'lazy': True, 'public_updates_channel_id': None, 'default_message_notifications': 0, 'stickers': [], 'system_channel_flags': 0, 'unavailable': False, 'rules_channel_id': None, 'roles': [{'version': 1755286418956, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1405997888454131752', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755286946692, 'unicode_emoji': None, 'tags': {'bot_id': '1405998234760904804'}, 'position': 1, 'permissions': '563276639759424', 'name': 'CarInfoBot', 'mentionable': False, 'managed': True, 'id': '1406000102597722285', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'version': 1755286418991, 'max_members': 25000000, 'mfa_level': 0, 'max_video_channel_users': 25, 'vanity_url_code': None, 'presences': []}}
[2025-08-15 22:54:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '0abb505d1474e4d79d238f964bd617ad', 'members': [{'user': {'username': 'dryeyedrops', 'public_flags': 0, 'primary_guild': None, 'id': '533974620227764224', 'global_name': 'dry eye drops', 'display_name_styles': None, 'display_name': 'dry eye drops', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '36bf5237b52d20133d9c88bac57b381c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:33:38.829000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'CarInfoBot', 'public_flags': 0, 'primary_guild': None, 'id': '1405998234760904804', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1963', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1406000102597722285'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:42:26.783258+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1405997888454131752', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-15 22:54:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:17] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1405997888454131752.
[2025-08-15 22:54:19] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-15 22:54:19] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-15 22:54:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-15T21:54:23.466000+00:00', 'pinned': False, 'nonce': '1406033304049680384', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:33:38.829000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1406033308013301850', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!bmw', 'components': [], 'channel_type': 0, 'channel_id': '1405997889192198237', 'author': {'username': 'dryeyedrops', 'public_flags': 0, 'primary_guild': None, 'id': '533974620227764224', 'global_name': 'dry eye drops', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '36bf5237b52d20133d9c88bac57b381c'}, 'attachments': [], 'guild_id': '1405997888454131752'}}
[2025-08-15 22:54:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:22] [DEBUG   ] discord.client: Dispatching event message
[2025-08-15 22:54:22] [DEBUG   ] discord.client: Dispatching event command_error
[2025-08-15 22:54:22] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "bmw" is not found
[2025-08-15 22:54:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '533974620227764224', 'timestamp': 1755294867, 'member': {'user': {'username': 'dryeyedrops', 'public_flags': 0, 'primary_guild': None, 'id': '533974620227764224', 'global_name': 'dry eye drops', 'display_name_styles': None, 'display_name': 'dry eye drops', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '36bf5237b52d20133d9c88bac57b381c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:33:38.829000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1405997889192198237', 'guild_id': '1405997888454131752'}}
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-15 22:54:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-15T21:54:27.596000+00:00', 'pinned': False, 'nonce': '1406033321204383744', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-15T19:33:38.829000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1406033325335777412', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!ferrari', 'components': [], 'channel_type': 0, 'channel_id': '1405997889192198237', 'author': {'username': 'dryeyedrops', 'public_flags': 0, 'primary_guild': None, 'id': '533974620227764224', 'global_name': 'dry eye drops', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '36bf5237b52d20133d9c88bac57b381c'}, 'attachments': [], 'guild_id': '1405997888454131752'}}
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event message
[2025-08-15 22:54:26] [DEBUG   ] discord.client: Dispatching event command_error
[2025-08-15 22:54:26] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "ferrari" is not found
